fid,receiver_name,installation_type,receiver_status,active,deployment_date,recovery_date,longitude,latitude,park_name,park_type,authority,gaz_date,epbc
acoustic_installation_summary_map.IMOS / AIMS Acoustic Telemetry Array Queensland.Coral Sea Receivers.CS-O5,VR2W-133522,ARRAY,RECOVERED,Inactive,2022-03-02T15:54:00Z,2023-02-22T02:30:00Z,146.57,-13.89,Coral Sea,Australian Marine Park,DCCEEW,2012-11-17T00:00:00Z,Commonwealth
acoustic_installation_summary_map.IMOS / AIMS Acoustic Telemetry Array Queensland.Coral Sea Receivers.CS-H1,VR2W-137048,ARRAY,LOST,Inactive,2023-02-19T15:34:00Z,2025-02-23T00:00:00Z,147.8,-16.52,Coral Sea,Australian Marine Park,DCCEEW,2012-11-17T00:00:00Z,Commonwealth
acoustic_installation_summary_map.IMOS / AIMS Acoustic Telemetry Array Queensland.Coral Sea Receivers.CS-F3,VR2W-137052,ARRAY,RECOVERED,Inactive,2023-02-10T15:20:00Z,2025-02-14T00:00:00Z,148.41,-17.78,Coral Sea,Australian Marine Park,DCCEEW,2012-11-17T00:00:00Z,Commonwealth
acoustic_installation_summary_map.IMOS / AIMS Acoustic Telemetry Array Queensland.Coral Sea Receivers.CS-O4,VR2W-137053,ARRAY,RECOVERED,Inactive,2023-02-22T02:00:00Z,2024-11-02T05:55:00Z,146.56,-13.88,Coral Sea,Australian Marine Park,DCCEEW,2012-11-17T00:00:00Z,Commonwealth
acoustic_installation_summary_map.IMOS / AIMS Acoustic Telemetry Array Queensland.Coral Sea Receivers.CS-F4,VR2W-137054,ARRAY,RECOVERED,Inactive,2023-02-10T15:23:00Z,2025-02-15T00:00:00Z,148.34,-17.7,Coral Sea,Australian Marine Park,DCCEEW,2012-11-17T00:00:00Z,Commonwealth
acoustic_installation_summary_map.IMOS / AIMS Acoustic Telemetry Array Queensland.Coral Sea Receivers.CS-O3,VR2W-137054,ARRAY,NA,Active,2025-10-18T07:48:00Z,NA,146.55,-13.88,Coral Sea,Australian Marine Park,DCCEEW,2012-11-17T00:00:00Z,Commonwealth
acoustic_installation_summary_map.IMOS / AIMS Acoustic Telemetry Array Queensland.Coral Sea Receivers.CS-F6,VR2W-137055,ARRAY,RECOVERED,Inactive,2023-02-10T15:31:00Z,2025-02-15T00:00:00Z,148.55,-17.53,Coral Sea,Australian Marine Park,DCCEEW,2012-11-17T00:00:00Z,Commonwealth
acoustic_installation_summary_map.IMOS / AIMS Acoustic Telemetry Array Queensland.Coral Sea Receivers.CS-H4,VR2W-137056,ARRAY,RECOVERED,Inactive,2024-04-25T15:46:00Z,2025-02-23T00:00:00Z,147.98,-16.42,Coral Sea,Australian Marine Park,DCCEEW,2012-11-17T00:00:00Z,Commonwealth
acoustic_installation_summary_map.IMOS / AIMS Acoustic Telemetry Array Queensland.Coral Sea Receivers.CS-F5,VR2W-137057,ARRAY,RECOVERED,Inactive,2023-02-10T15:28:00Z,2025-02-15T00:00:00Z,148.34,-17.6,Coral Sea,Australian Marine Park,DCCEEW,2012-11-17T00:00:00Z,Commonwealth
acoustic_installation_summary_map.IMOS / AIMS Acoustic Telemetry Array Queensland.Coral Sea Receivers.CS-O6,VR2W-137693,ARRAY,NA,Active,2025-10-18T22:00:00Z,NA,146.55,-13.89,Coral Sea,Australian Marine Park,DCCEEW,2012-11-17T00:00:00Z,Commonwealth
acoustic_installation_summary_map.IMOS / AIMS Acoustic Telemetry Array Queensland.Coral Sea Receivers.CS-H3,VR2W-137694,ARRAY,RECOVERED,Inactive,2023-02-20T15:00:00Z,2025-02-23T00:00:00Z,147.96,-16.5,Coral Sea,Australian Marine Park,DCCEEW,2012-11-17T00:00:00Z,Commonwealth
acoustic_installation_summary_map.IMOS / AIMS Acoustic Telemetry Array Queensland.Coral Sea Receivers.Bouganville - Crystal Plateau,NA,ARRAY,NA,Inactive,NA,NA,147.08,-15.49,Coral Sea,Australian Marine Park,DCCEEW,2012-11-17T00:00:00Z,Commonwealth
acoustic_installation_summary_map.IMOS-ATF / OTN Cape Barren Island line.IMOS-ATF / OTN Cape Barren Island line.CBL 37,VR2W-101803,CURTAIN,RECOVERED,Inactive,2013-10-21T05:38:00Z,2015-04-17T02:56:00Z,148.8,-40.51,Flinders,Australian Marine Park,DCCEEW,2012-11-17T00:00:00Z,Commonwealth
acoustic_installation_summary_map.IMOS-ATF / OTN Cape Barren Island line.IMOS-ATF / OTN Cape Barren Island line.CBL 24,VR2W-106866,CURTAIN,RECOVERED,Inactive,2013-10-21T03:21:00Z,2015-04-20T06:02:00Z,148.68,-40.49,Flinders,Australian Marine Park,DCCEEW,2012-11-17T00:00:00Z,Commonwealth
acoustic_installation_summary_map.IMOS-ATF / OTN Cape Barren Island line.IMOS-ATF / OTN Cape Barren Island line.CBL 25,VR2W-106907,CURTAIN,RECOVERED,Inactive,2013-10-21T03:42:00Z,2015-04-20T05:25:00Z,148.69,-40.49,Flinders,Australian Marine Park,DCCEEW,2012-11-17T00:00:00Z,Commonwealth
acoustic_installation_summary_map.IMOS-ATF / OTN Cape Barren Island line.IMOS-ATF / OTN Cape Barren Island line.CBL 20,VR2W-113127,CURTAIN,RECOVERED,Inactive,2013-10-21T23:42:00Z,2015-04-15T03:52:00Z,148.65,-40.48,Flinders,Australian Marine Park,DCCEEW,2012-11-17T00:00:00Z,Commonwealth
acoustic_installation_summary_map.IMOS-ATF / OTN Cape Barren Island line.IMOS-ATF / OTN Cape Barren Island line.CBL 36,VR2W-114640,CURTAIN,RECOVERED,Inactive,2012-10-18T01:17:00Z,2014-02-13T00:00:00Z,148.79,-40.51,Flinders,Australian Marine Park,DCCEEW,2012-11-17T00:00:00Z,Commonwealth
acoustic_installation_summary_map.IMOS-ATF / OTN Cape Barren Island line.IMOS-ATF / OTN Cape Barren Island line.CBL 31,VR2W-114642,CURTAIN,LOST,Inactive,2012-10-18T00:36:00Z,2015-04-17T01:44:00Z,148.75,-40.5,Flinders,Australian Marine Park,DCCEEW,2012-11-17T00:00:00Z,Commonwealth
acoustic_installation_summary_map.IMOS-ATF / OTN Cape Barren Island line.IMOS-ATF / OTN Cape Barren Island line.CBL 26,VR2W-114647,CURTAIN,LOST,Inactive,2012-10-17T23:56:00Z,2015-04-17T01:08:00Z,148.7,-40.49,Flinders,Australian Marine Park,DCCEEW,2012-11-17T00:00:00Z,Commonwealth
acoustic_installation_summary_map.IMOS-ATF / OTN Cape Barren Island line.IMOS-ATF / OTN Cape Barren Island line.CBL 23,VR2W-114648,CURTAIN,NA,Inactive,2012-10-17T23:34:00Z,NA,148.68,-40.48,Flinders,Australian Marine Park,DCCEEW,2012-11-17T00:00:00Z,Commonwealth
