FID,installation_type,receiver_name,deployment_date,recovery_date,receiver_status,active,geom,imos_b
acoustic_installation_summary_map.IMOS-ATF / OTN Perth line.IMOS-ATF / OTN Perth line.PRT68,CURTAIN,VR2W-134703,2022-02-02T06:50:00Z,2025-04-30T05:46:00Z,RECOVERED,Inactive,POINT (115.61 -32.1),true
acoustic_installation_summary_map.IMOS-ATF / OTN Perth line.IMOS-ATF / OTN Perth line.PRT69,CURTAIN,VR2W-119425,2022-02-02T06:23:00Z,2025-04-30T04:44:00Z,DAMAGED,Inactive,POINT (115.61 -32.11),true
acoustic_installation_summary_map.IMOS-ATF / OTN Perth line.IMOS-ATF / OTN Perth line.PRT70,CURTAIN,VR2W-135942,2022-02-02T06:40:00Z,2025-04-30T04:38:00Z,RECOVERED,Inactive,POINT (115.62 -32.12),true
acoustic_installation_summary_map.IMOS-ATF / OTN Perth line.IMOS-ATF / OTN Perth line.PRT71,CURTAIN,VR2W-119449,2022-02-02T05:34:00Z,2025-04-30T03:00:00Z,RECOVERED,Inactive,POINT (115.62 -32.12),true
acoustic_installation_summary_map.IMOS-ATF / OTN Perth line.IMOS-ATF / OTN Perth line.PRT72,CURTAIN,VR2W-135944,2022-02-02T05:05:00Z,2025-04-30T04:30:00Z,RECOVERED,Inactive,POINT (115.63 -32.13),true
acoustic_installation_summary_map.IMOS-ATF / OTN Perth line.IMOS-ATF / OTN Perth line.PRT73,CURTAIN,VR2Tx-485356,2022-02-03T07:38:00Z,2025-04-29T03:34:00Z,DAMAGED,Inactive,POINT (115.63 -32.13),true
acoustic_installation_summary_map.IMOS-ATF / OTN Perth line.IMOS-ATF / OTN Perth line.PRT74,CURTAIN,VR2W-135943,2022-02-03T08:02:00Z,2025-04-29T03:30:00Z,RECOVERED,Inactive,POINT (115.64 -32.14),true
acoustic_installation_summary_map.IMOS-ATF / OTN Perth line.IMOS-ATF / OTN Perth line.PRT75,CURTAIN,VR2W-134684,2022-01-19T02:45:00Z,2025-04-29T06:05:00Z,RECOVERED,Inactive,POINT (115.65 -32.14),true
acoustic_installation_summary_map.IMOS-ATF / OTN Perth line.IMOS-ATF / OTN Perth line.PRT76,CURTAIN,VR2W-134705,2022-01-19T03:08:00Z,2025-05-30T06:27:00Z,LOST,Inactive,POINT (115.65 -32.15),true
acoustic_installation_summary_map.IMOS-ATF / OTN Perth line.IMOS-ATF / OTN Perth line.PRT77,CURTAIN,VR2W-101415,2022-01-19T03:55:00Z,2025-04-29T02:17:00Z,RECOVERED,Inactive,POINT (115.68 -32.24),true
acoustic_installation_summary_map.IMOS-ATF / OTN Perth line.IMOS-ATF / OTN Perth line.PRT78,CURTAIN,VR2W-120782,2022-01-19T04:12:00Z,2025-04-30T06:25:00Z,LOST,Inactive,POINT (115.68 -32.25),true
acoustic_installation_summary_map.IMOS-ATF Portland Line.IMOS-ATF Portland Line.PTLD1,CURTAIN,VR2AR-549618,2026-06-26T01:24:00Z,,,Active,POINT (141.36 -38.38),true
acoustic_installation_summary_map.IMOS-ATF Portland Line.IMOS-ATF Portland Line.PTLD10,CURTAIN,VR2AR-556513,2026-06-25T05:10:00Z,,,Active,POINT (141.29 -38.4),true
acoustic_installation_summary_map.IMOS-ATF Portland Line.IMOS-ATF Portland Line.PTLD2,CURTAIN,VR2AR-548531,2026-06-26T01:33:00Z,,,Active,POINT (141.35 -38.38),true
acoustic_installation_summary_map.IMOS-ATF Portland Line.IMOS-ATF Portland Line.PTLD3,CURTAIN,VR2AR-553468,2026-06-26T01:41:00Z,,,Active,POINT (141.35 -38.38),true
acoustic_installation_summary_map.IMOS-ATF Portland Line.IMOS-ATF Portland Line.PTLD4,CURTAIN,VR2AR-556511,2026-06-26T01:50:00Z,,,Active,POINT (141.34 -38.39),true
acoustic_installation_summary_map.IMOS-ATF Portland Line.IMOS-ATF Portland Line.PTLD5,CURTAIN,VR2AR-550719,2026-06-26T01:50:00Z,,,Active,POINT (141.33 -38.39),true
acoustic_installation_summary_map.IMOS-ATF Portland Line.IMOS-ATF Portland Line.PTLD6,CURTAIN,VR2AR-555609,2026-06-25T05:50:00Z,,,Active,POINT (141.32 -38.39),true
acoustic_installation_summary_map.IMOS-ATF Portland Line.IMOS-ATF Portland Line.PTLD7,CURTAIN,VR2AR-555182,2026-06-25T05:39:00Z,,,Active,POINT (141.31 -38.39),true
acoustic_installation_summary_map.IMOS-ATF Portland Line.IMOS-ATF Portland Line.PTLD8,CURTAIN,VR2AR-556512,2026-06-25T05:30:00Z,,,Active,POINT (141.3 -38.39),true
acoustic_installation_summary_map.IMOS-ATF Portland Line.IMOS-ATF Portland Line.PTLD9,CURTAIN,VR2AR-548850,2026-06-25T05:22:00Z,,,Active,POINT (141.3 -38.4),true
acoustic_installation_summary_map.IMOS-ATF Portland Line.IMOS-ATF Portland Line.PTLD Bonney Mooring,CURTAIN,VR2W-114568,2024-04-07T06:14:00Z,2024-07-10T01:07:00Z,RECOVERED,Inactive,POINT (141.27 -38.4),true
acoustic_installation_summary_map.IMOS-ATF / Project Manta Lady Elliot Island array.Lady Elliot Island.LEI_45_West,ARRAY,VR2W-111253,2023-06-08T04:00:00Z,,,Inactive,POINT (152.7 -24.11),false
acoustic_installation_summary_map.IMOS-ATF / Project Manta Lady Elliot Island array.Lady Elliot Island.LEI_Blowhole_East,ARRAY,VR2W-113132,2023-06-17T22:00:00Z,,,Inactive,POINT (152.72 -24.11),false
acoustic_installation_summary_map.IMOS-ATF / Project Manta Lady Elliot Island array.Lady Elliot Island.LEI_Encounters_South,ARRAY,VR2W-106914,2023-06-13T06:00:00Z,,,Inactive,POINT (152.71 -24.11),false
acoustic_installation_summary_map.IMOS-ATF / Project Manta Lady Elliot Island array.Lady Elliot Island.LEI_Spiders_North,ARRAY,VR2W-114572,2023-06-18T04:00:00Z,,,Inactive,POINT (152.71 -24.1),false
acoustic_installation_summary_map.IMOS-ATF Rowley Shoals.IMOS-ATF Rowley Shoals.RS 1,ARRAY,VR2W-120753,2015-04-04T07:57:00Z,2016-09-02T04:11:00Z,RECOVERED,Inactive,POINT (119.37 -17.26),true
acoustic_installation_summary_map.IMOS-ATF Rowley Shoals.IMOS-ATF Rowley Shoals.RS 10,ARRAY,VR2W-122570,2015-04-05T12:13:00Z,2016-09-03T01:31:00Z,RECOVERED,Inactive,POINT (119.36 -17.27),true
acoustic_installation_summary_map.IMOS-ATF Rowley Shoals.IMOS-ATF Rowley Shoals.RS 11,ARRAY,VR2W-101823,2015-04-05T10:30:00Z,2016-09-03T00:57:00Z,RECOVERED,Inactive,POINT (119.36 -17.27),true
acoustic_installation_summary_map.IMOS-ATF Rowley Shoals.IMOS-ATF Rowley Shoals.RS 12,ARRAY,VR2W-101853,2015-04-05T02:27:00Z,2016-09-03T00:45:00Z,RECOVERED,Inactive,POINT (119.36 -17.28),true
acoustic_installation_summary_map.IMOS-ATF Rowley Shoals.IMOS-ATF Rowley Shoals.RS 13,ARRAY,VR2W-101864,2015-04-05T02:38:00Z,2016-09-03T00:40:00Z,RECOVERED,Inactive,POINT (119.37 -17.28),true
acoustic_installation_summary_map.IMOS-ATF Rowley Shoals.IMOS-ATF Rowley Shoals.RS 14,ARRAY,VR2W-106663,2015-04-05T00:43:00Z,2016-09-03T01:02:00Z,RECOVERED,Inactive,POINT (119.36 -17.28),true
acoustic_installation_summary_map.IMOS-ATF Rowley Shoals.IMOS-ATF Rowley Shoals.RS 15,ARRAY,VR2W-106881,2015-04-05T01:05:00Z,2016-09-03T01:08:00Z,RECOVERED,Inactive,POINT (119.36 -17.28),true
acoustic_installation_summary_map.IMOS-ATF Rowley Shoals.IMOS-ATF Rowley Shoals.RS 16,ARRAY,VR2W-101758,2015-04-05T01:34:00Z,2016-09-03T01:24:00Z,RECOVERED,Inactive,POINT (119.36 -17.28),true
acoustic_installation_summary_map.IMOS-ATF Rowley Shoals.IMOS-ATF Rowley Shoals.RS 17,ARRAY,VR2W-101861,2015-04-05T01:45:00Z,2016-09-03T01:14:00Z,RECOVERED,Inactive,POINT (119.36 -17.28),true
