Dot Point Measurements

Generated: Friday 27 September 2024 08:43:22

Filename	Frame	Time (mins)	Image row	Image col	Date	Location	Site #	Transect #	Latitude	Longitude	Rugosity	Depth	Collector	Fishing status	campaignid	relief_annotated	OpCode	Period	Frame info 3	Frame info 4	Frame info 5	Frame info 6	level_2	level_3	level_4	level_5	scientific	qualifiers			Radius %
DM-BV-04_1_01_Left_MAH00346.MP4_0077121.jpg	      0		405	576											2023-09_Dampier_stereo-BRUVs	Yes	DM-BV-04	1													46.9
DM-BV-04_1_01_Left_MAH00346.MP4_0077121.jpg	      0		674	576											2023-09_Dampier_stereo-BRUVs	Yes	DM-BV-04	1					Relief	Low / moderate	Low (<1m)	1					46.9
DM-BV-04_1_01_Left_MAH00346.MP4_0077121.jpg	      0		944	576											2023-09_Dampier_stereo-BRUVs	Yes	DM-BV-04	1					Relief	Low / moderate	Low (<1m)	1					64.3
DM-BV-04_1_01_Left_MAH00346.MP4_0077121.jpg	      0		135	959											2023-09_Dampier_stereo-BRUVs	Yes	DM-BV-04	1													46.6
DM-BV-04_1_01_Left_MAH00346.MP4_0077121.jpg	      0		405	959											2023-09_Dampier_stereo-BRUVs	Yes	DM-BV-04	1													15.5
DM-BV-04_1_01_Left_MAH00346.MP4_0077121.jpg	      0		674	959											2023-09_Dampier_stereo-BRUVs	Yes	DM-BV-04	1					Relief	Low / moderate	Low (<1m)	1					15.5
DM-BV-04_1_01_Left_MAH00346.MP4_0077121.jpg	      0		944	959											2023-09_Dampier_stereo-BRUVs	Yes	DM-BV-04	1					Relief	Low / moderate	Low (<1m)	1					46.6
DM-BV-04_1_01_Left_MAH00346.MP4_0077121.jpg	      0		135	1343											2023-09_Dampier_stereo-BRUVs	Yes	DM-BV-04	1													64.3
DM-BV-04_1_01_Left_MAH00346.MP4_0077121.jpg	      0		405	1343											2023-09_Dampier_stereo-BRUVs	Yes	DM-BV-04	1													46.9
DM-BV-04_1_01_Left_MAH00346.MP4_0077121.jpg	      0		674	1343											2023-09_Dampier_stereo-BRUVs	Yes	DM-BV-04	1					Relief	Low / moderate	Low (<1m)	1					46.9
DM-BV-04_1_01_Left_MAH00346.MP4_0077121.jpg	      0		944	1343											2023-09_Dampier_stereo-BRUVs	Yes	DM-BV-04	1					Relief	Low / moderate	Low (<1m)	1					64.3
DM-BV-04_1_01_Left_MAH00346.MP4_0077121.jpg	      0		135	1727											2023-09_Dampier_stereo-BRUVs	Yes	DM-BV-04	1													100.0
DM-BV-04_1_01_Left_MAH00346.MP4_0077121.jpg	      0		405	1727											2023-09_Dampier_stereo-BRUVs	Yes	DM-BV-04	1													89.8
DM-BV-04_1_01_Left_MAH00346.MP4_0077121.jpg	      0		674	1727											2023-09_Dampier_stereo-BRUVs	Yes	DM-BV-04	1					Relief	Low / moderate	Low (<1m)	1					89.8
DM-BV-04_1_01_Left_MAH00346.MP4_0077121.jpg	      0		944	1727											2023-09_Dampier_stereo-BRUVs	Yes	DM-BV-04	1					Relief	Low / moderate	Low (<1m)	1					100.0
DM-BV-05_1_01_Left_MAH00438.MP4_0075493.jpg	      0		135	192											2023-09_Dampier_stereo-BRUVs	Yes	DM-BV-05	1													100.0
DM-BV-05_1_01_Left_MAH00438.MP4_0075493.jpg	      0		405	192											2023-09_Dampier_stereo-BRUVs	Yes	DM-BV-05	1					Relief	Low / moderate	Low (<1m)	1					89.8
DM-BV-05_1_01_Left_MAH00438.MP4_0075493.jpg	      0		674	192											2023-09_Dampier_stereo-BRUVs	Yes	DM-BV-05	1					Relief	Low / moderate	Moderate (1-3m)	2					89.8
DM-BV-05_1_01_Left_MAH00438.MP4_0075493.jpg	      0		944	192											2023-09_Dampier_stereo-BRUVs	Yes	DM-BV-05	1					Relief	Low / moderate	Low (<1m)	1					100.0
DM-BV-05_1_01_Left_MAH00438.MP4_0075493.jpg	      0		135	576											2023-09_Dampier_stereo-BRUVs	Yes	DM-BV-05	1													64.3
DM-BV-05_1_01_Left_MAH00438.MP4_0075493.jpg	      0		405	576											2023-09_Dampier_stereo-BRUVs	Yes	DM-BV-05	1													46.9
DM-BV-05_1_01_Left_MAH00438.MP4_0075493.jpg	      0		674	576											2023-09_Dampier_stereo-BRUVs	Yes	DM-BV-05	1					Relief	Low / moderate	Moderate (1-3m)	2					46.9
DM-BV-05_1_01_Left_MAH00438.MP4_0075493.jpg	      0		944	576											2023-09_Dampier_stereo-BRUVs	Yes	DM-BV-05	1					Relief	Low / moderate	Moderate (1-3m)	2					64.3
DM-BV-05_1_01_Left_MAH00438.MP4_0075493.jpg	      0		135	959											2023-09_Dampier_stereo-BRUVs	Yes	DM-BV-05	1													46.6
DM-BV-05_1_01_Left_MAH00438.MP4_0075493.jpg	      0		405	959											2023-09_Dampier_stereo-BRUVs	Yes	DM-BV-05	1													15.5
DM-BV-05_1_01_Left_MAH00438.MP4_0075493.jpg	      0		674	959											2023-09_Dampier_stereo-BRUVs	Yes	DM-BV-05	1					Relief	Low / moderate	Moderate (1-3m)	2					15.5
DM-BV-05_1_01_Left_MAH00438.MP4_0075493.jpg	      0		944	959											2023-09_Dampier_stereo-BRUVs	Yes	DM-BV-05	1					Relief	Low / moderate	Low (<1m)	1					46.6
DM-BV-05_1_01_Left_MAH00438.MP4_0075493.jpg	      0		135	1343											2023-09_Dampier_stereo-BRUVs	Yes	DM-BV-05	1													64.3
DM-BV-05_1_01_Left_MAH00438.MP4_0075493.jpg	      0		405	1343											2023-09_Dampier_stereo-BRUVs	Yes	DM-BV-05	1													46.9
DM-BV-05_1_01_Left_MAH00438.MP4_0075493.jpg	      0		674	1343											2023-09_Dampier_stereo-BRUVs	Yes	DM-BV-05	1					Relief	Low / moderate	Moderate (1-3m)	2					46.9
DM-BV-05_1_01_Left_MAH00438.MP4_0075493.jpg	      0		944	1343											2023-09_Dampier_stereo-BRUVs	Yes	DM-BV-05	1					Relief	Low / moderate	Low (<1m)	1					64.3
DM-BV-05_1_01_Left_MAH00438.MP4_0075493.jpg	      0		135	1727											2023-09_Dampier_stereo-BRUVs	Yes	DM-BV-05	1													100.0
DM-BV-05_1_01_Left_MAH00438.MP4_0075493.jpg	      0		405	1727											2023-09_Dampier_stereo-BRUVs	Yes	DM-BV-05	1													89.8
DM-BV-05_1_01_Left_MAH00438.MP4_0075493.jpg	      0		674	1727											2023-09_Dampier_stereo-BRUVs	Yes	DM-BV-05	1					Relief	Low / moderate	Moderate (1-3m)	2					89.8
DM-BV-05_1_01_Left_MAH00438.MP4_0075493.jpg	      0		944	1727											2023-09_Dampier_stereo-BRUVs	Yes	DM-BV-05	1					Relief	Low / moderate	Low (<1m)	1					100.0
DM-BV-06_1_01_Left_MAH00485.MP4_0036038.jpg	      0		135	192											2023-09_Dampier_stereo-BRUVs	Yes	DM-BV-06	1													100.0
DM-BV-06_1_01_Left_MAH00485.MP4_0036038.jpg	      0		405	192											2023-09_Dampier_stereo-BRUVs	Yes	DM-BV-06	1													89.8
DM-BV-06_1_01_Left_MAH00485.MP4_0036038.jpg	      0		674	192											2023-09_Dampier_stereo-BRUVs	Yes	DM-BV-06	1					Relief	Flat		0					89.8
DM-BV-06_1_01_Left_MAH00485.MP4_0036038.jpg	      0		944	192											2023-09_Dampier_stereo-BRUVs	Yes	DM-BV-06	1					Relief	Flat		0					100.0
DM-BV-06_1_01_Left_MAH00485.MP4_0036038.jpg	      0		135	576											2023-09_Dampier_stereo-BRUVs	Yes	DM-BV-06	1													64.3
DM-BV-06_1_01_Left_MAH00485.MP4_0036038.jpg	      0		405	576											2023-09_Dampier_stereo-BRUVs	Yes	DM-BV-06	1													46.9
DM-BV-06_1_01_Left_MAH00485.MP4_0036038.jpg	      0		674	576											2023-09_Dampier_stereo-BRUVs	Yes	DM-BV-06	1					Relief	Flat		0					46.9
DM-BV-06_1_01_Left_MAH00485.MP4_0036038.jpg	      0		944	576											2023-09_Dampier_stereo-BRUVs	Yes	DM-BV-06	1					Relief	Flat		0					64.3
DM-BV-06_1_01_Left_MAH00485.MP4_0036038.jpg	      0		135	959											2023-09_Dampier_stereo-BRUVs	Yes	DM-BV-06	1													46.6
DM-BV-06_1_01_Left_MAH00485.MP4_0036038.jpg	      0		405	959											2023-09_Dampier_stereo-BRUVs	Yes	DM-BV-06	1													15.5
DM-BV-06_1_01_Left_MAH00485.MP4_0036038.jpg	      0		674	959											2023-09_Dampier_stereo-BRUVs	Yes	DM-BV-06	1					Relief	Flat		0					15.5
DM-BV-06_1_01_Left_MAH00485.MP4_0036038.jpg	      0		944	959											2023-09_Dampier_stereo-BRUVs	Yes	DM-BV-06	1					Relief	Flat		0					46.6
DM-BV-06_1_01_Left_MAH00485.MP4_0036038.jpg	      0		135	1343											2023-09_Dampier_stereo-BRUVs	Yes	DM-BV-06	1													64.3
DM-BV-06_1_01_Left_MAH00485.MP4_0036038.jpg	      0		405	1343											2023-09_Dampier_stereo-BRUVs	Yes	DM-BV-06	1													46.9
DM-BV-06_1_01_Left_MAH00485.MP4_0036038.jpg	      0		674	1343											2023-09_Dampier_stereo-BRUVs	Yes	DM-BV-06	1					Relief	Low / moderate	Low (<1m)	1					46.9
DM-BV-06_1_01_Left_MAH00485.MP4_0036038.jpg	      0		944	1343											2023-09_Dampier_stereo-BRUVs	Yes	DM-BV-06	1					Relief	Flat		0					64.3
DM-BV-06_1_01_Left_MAH00485.MP4_0036038.jpg	      0		135	1727											2023-09_Dampier_stereo-BRUVs	Yes	DM-BV-06	1													100.0
DM-BV-06_1_01_Left_MAH00485.MP4_0036038.jpg	      0		405	1727											2023-09_Dampier_stereo-BRUVs	Yes	DM-BV-06	1													89.8
DM-BV-06_1_01_Left_MAH00485.MP4_0036038.jpg	      0		674	1727											2023-09_Dampier_stereo-BRUVs	Yes	DM-BV-06	1													89.8
DM-BV-06_1_01_Left_MAH00485.MP4_0036038.jpg	      0		944	1727											2023-09_Dampier_stereo-BRUVs	Yes	DM-BV-06	1					Relief	Flat		0					100.0
DM-BV-07_1_01_Left_MAH00480.MP4_0058188.jpg	      0		135	192											2023-09_Dampier_stereo-BRUVs	Yes	DM-BV-07	1													100.0
DM-BV-07_1_01_Left_MAH00480.MP4_0058188.jpg	      0		405	192											2023-09_Dampier_stereo-BRUVs	Yes	DM-BV-07	1													89.8
DM-BV-07_1_01_Left_MAH00480.MP4_0058188.jpg	      0		674	192											2023-09_Dampier_stereo-BRUVs	Yes	DM-BV-07	1					Relief	Low / moderate	Low (<1m)	1					89.8
DM-BV-07_1_01_Left_MAH00480.MP4_0058188.jpg	      0		944	192											2023-09_Dampier_stereo-BRUVs	Yes	DM-BV-07	1					Relief	Low / moderate	Low (<1m)	1					100.0
DM-BV-07_1_01_Left_MAH00480.MP4_0058188.jpg	      0		135	576											2023-09_Dampier_stereo-BRUVs	Yes	DM-BV-07	1													64.3
DM-BV-07_1_01_Left_MAH00480.MP4_0058188.jpg	      0		405	576											2023-09_Dampier_stereo-BRUVs	Yes	DM-BV-07	1													46.9
DM-BV-07_1_01_Left_MAH00480.MP4_0058188.jpg	      0		674	576											2023-09_Dampier_stereo-BRUVs	Yes	DM-BV-07	1					Relief	Low / moderate	Low (<1m)	1					46.9
DM-BV-07_1_01_Left_MAH00480.MP4_0058188.jpg	      0		944	576											2023-09_Dampier_stereo-BRUVs	Yes	DM-BV-07	1					Relief	Low / moderate	Low (<1m)	1					64.3
DM-BV-07_1_01_Left_MAH00480.MP4_0058188.jpg	      0		135	959											2023-09_Dampier_stereo-BRUVs	Yes	DM-BV-07	1													46.6
DM-BV-07_1_01_Left_MAH00480.MP4_0058188.jpg	      0		405	959											2023-09_Dampier_stereo-BRUVs	Yes	DM-BV-07	1													15.5
DM-BV-07_1_01_Left_MAH00480.MP4_0058188.jpg	      0		674	959											2023-09_Dampier_stereo-BRUVs	Yes	DM-BV-07	1					Relief	Flat		0					15.5
DM-BV-07_1_01_Left_MAH00480.MP4_0058188.jpg	      0		944	959											2023-09_Dampier_stereo-BRUVs	Yes	DM-BV-07	1					Relief	Low / moderate	Low (<1m)	1					46.6
DM-BV-07_1_01_Left_MAH00480.MP4_0058188.jpg	      0		135	1343											2023-09_Dampier_stereo-BRUVs	Yes	DM-BV-07	1													64.3
DM-BV-07_1_01_Left_MAH00480.MP4_0058188.jpg	      0		405	1343											2023-09_Dampier_stereo-BRUVs	Yes	DM-BV-07	1													46.9
DM-BV-07_1_01_Left_MAH00480.MP4_0058188.jpg	      0		674	1343											2023-09_Dampier_stereo-BRUVs	Yes	DM-BV-07	1					Relief	Flat		0					46.9
DM-BV-07_1_01_Left_MAH00480.MP4_0058188.jpg	      0		944	1343											2023-09_Dampier_stereo-BRUVs	Yes	DM-BV-07	1					Relief	Low / moderate	Low (<1m)	1					64.3
DM-BV-07_1_01_Left_MAH00480.MP4_0058188.jpg	      0		135	1727											2023-09_Dampier_stereo-BRUVs	Yes	DM-BV-07	1													100.0
DM-BV-07_1_01_Left_MAH00480.MP4_0058188.jpg	      0		405	1727											2023-09_Dampier_stereo-BRUVs	Yes	DM-BV-07	1													89.8
DM-BV-07_1_01_Left_MAH00480.MP4_0058188.jpg	      0		674	1727											2023-09_Dampier_stereo-BRUVs	Yes	DM-BV-07	1					Relief	Flat		0					89.8
DM-BV-07_1_01_Left_MAH00480.MP4_0058188.jpg	      0		944	1727											2023-09_Dampier_stereo-BRUVs	Yes	DM-BV-07	1					Relief	Low / moderate	Low (<1m)	1					100.0
DM-BV-08_1_01_Left_MAH00425.MP4_0055417.jpg	      0		135	192											2023-09_Dampier_stereo-BRUVs	Yes	DM-BV-08	1													100.0
DM-BV-08_1_01_Left_MAH00425.MP4_0055417.jpg	      0		405	192											2023-09_Dampier_stereo-BRUVs	Yes	DM-BV-08	1													89.8
DM-BV-08_1_01_Left_MAH00425.MP4_0055417.jpg	      0		674	192											2023-09_Dampier_stereo-BRUVs	Yes	DM-BV-08	1					Relief	Low / moderate	Moderate (1-3m)	2					89.8
DM-BV-08_1_01_Left_MAH00425.MP4_0055417.jpg	      0		944	192											2023-09_Dampier_stereo-BRUVs	Yes	DM-BV-08	1					Relief	Low / moderate	Low (<1m)	1					100.0
DM-BV-08_1_01_Left_MAH00425.MP4_0055417.jpg	      0		135	576											2023-09_Dampier_stereo-BRUVs	Yes	DM-BV-08	1													64.3
DM-BV-08_1_01_Left_MAH00425.MP4_0055417.jpg	      0		405	576											2023-09_Dampier_stereo-BRUVs	Yes	DM-BV-08	1													46.9
DM-BV-08_1_01_Left_MAH00425.MP4_0055417.jpg	      0		674	576											2023-09_Dampier_stereo-BRUVs	Yes	DM-BV-08	1					Relief	Low / moderate	Low (<1m)	1					46.9
DM-BV-08_1_01_Left_MAH00425.MP4_0055417.jpg	      0		944	576											2023-09_Dampier_stereo-BRUVs	Yes	DM-BV-08	1					Relief	Low / moderate	Low (<1m)	1					64.3
DM-BV-08_1_01_Left_MAH00425.MP4_0055417.jpg	      0		135	959											2023-09_Dampier_stereo-BRUVs	Yes	DM-BV-08	1													46.6
DM-BV-08_1_01_Left_MAH00425.MP4_0055417.jpg	      0		405	959											2023-09_Dampier_stereo-BRUVs	Yes	DM-BV-08	1													15.5
DM-BV-08_1_01_Left_MAH00425.MP4_0055417.jpg	      0		674	959											2023-09_Dampier_stereo-BRUVs	Yes	DM-BV-08	1					Relief	Low / moderate	Low (<1m)	1					15.5
DM-BV-08_1_01_Left_MAH00425.MP4_0055417.jpg	      0		944	959											2023-09_Dampier_stereo-BRUVs	Yes	DM-BV-08	1					Relief	Low / moderate	Low (<1m)	1					46.6
